Country	Bank	Year	Interest_income	Interest_expenses	Net_non_interest_income	Operating_expenses	Net_provisions	Income_tax	Distributed_profit	Retained_profit	Cash_and_balance_with_Central_bank	Interbank_deposits_asset	Loans	Securities	Other_assets	Capital_and_reserves	Borrowing_from_Central_bank	Interbank_deposits_liab	Customer_deposits	Bonds	Other_liabilities	Number_of_institutions	Number_of_branches	Number_of_employees
Mexico	Cooperative_banks	2002	1407.892	825.575	165.307	579.067	-45.297	70.937	0	142.918	0	1059.841	8742.585	645.307	2001.372	2482.543	0	2192.699	341.318	0	7432.545	138	NA	NA
Mexico	Cooperative_banks	2003	1432.373	857.604	298.71	632.137	54.582	43.403	0	143.356	0	1453.949	9942.661	799.403	1983.824	2527.235	0	2531.506	541.673	0	8579.423	133	NA	NA
Mexico	Cooperative_banks	2004	1495.902	802.578	-13.533	660.728	72.303	56.239	0	-109.48	0	1601.171	9635.937	1209.079	1653.867	2562.461	0	2513.124	664.427	0	8360.043	128	NA	NA
Mexico	Cooperative_banks	2005	2236.234	1354.591	182.764	765.351	90.699	53.203	0	155.155	0	1606.895	12409.967	1720.482	1930.043	2800.305	0	3462.412	309.254	0	11095.416	127	NA	NA
Mexico	Cooperative_banks	2006	2195.814	1375.892	138.6	715.469	71.589	82.525	0	88.938	0	817.476	14589.969	2844.1	1775.038	3257.998	0	3895.213	246.418	0	12626.954	121	NA	NA
Mexico	Cooperative_banks	2007	2199.509	1360.389	141.932	719.262	120.215	82.591	0	58.983	0	697.173	15126.411	2619.743	1326.322	3275.456	0	3914.741	197.44	0	12382.013	109	NA	NA
Mexico	Cooperative_banks	2008	3540.691	2219.868	286.768	943.598	199.249	122.427	0	342.318	0	1257.533	22710.662	3342.206	2000.118	4653.16	0	5810.021	583.224	0	18264.114	123	NA	NA
Mexico	Cooperative_banks	2009	3433.795	2136.638	373.955	1042.279	196.162	113.279	0	319.391	0	1377.652	22750.636	4232.963	1991.254	4875.797	0	5999.654	507.366	0	18969.686	117	NA	NA
Poland	Cooperative_banks	1999	2083	1042	372	1041	48	115	20	190	393	4572	8181	1234	1014	1339	NA	67	12833	39	1116	781	1048	25110
Poland	Cooperative_banks	2000	2847	1449	482	1298	104	175	32	271	450	4705	10324	1305	1257	1587	0	94	14958	3	1399	680	1149	25697
Poland	Cooperative_banks	2001	3212	1644	543	1464	158	174	37	278	591	6858	11571	1082	1403	1929	0	104	17992	0	1480	642	1201	26403
Poland	Cooperative_banks	2002	2475	985	706	1550	150	140	24	332	611	6981	13275	1365	1166	2268	0	101	19514	0	1516	605	1262	26819
Poland	Cooperative_banks	2003	2002	633	732	1581	117	121	16	266	741	6177	15323	1985	1458	2622	0	92	21546	0	1424	600	1275	27161
Poland	Cooperative_banks	2004	2209.596	619.733	752.82	1677.368	82.859	104.951	24	453.505	720.8	7714.7	17491.3	1223.9	1566.2	2880.7	0.1	105.1	24010.1	0	1720.7	596	1298	27600
Poland	Cooperative_banks	2005	2484.394	714.93	706.813	1788.254	65.006	111.294	28	483.723	804	10502.1	19227.9	1656.5	1718.7	3295.5	0	46.2	28724.1	0	1843.4	588	1368	28265
Poland	Cooperative_banks	2006	2479.651	678.575	794.619	1893.44	77.797	121.044	30.2	472.24	899.641	12458.459	23899.722	2766.83	2100.778	3831.573	0.097	62.714	35979.237	0	2251.809	584	1402	28904
Poland	Cooperative_banks	2007	2990.191	819.57	868.984	2103.545	75.919	174.047	41.9	644.194	1223.307	13429.548	29177.171	2601.946	2492.625	4478.169	0.055	159.081	41773.413	0	2513.879	581	1459	30103
Poland	Cooperative_banks	2008	4046.598	1303.485	935.305	2448.944	92.276	236.773	18.008	882.416	1494.252	14479.801	35361.238	3099.562	2102.597	6120.359	0.954	364.134	48261.13	0	1790.872	579	1471	34966
Poland	Cooperative_banks	2009	3871.307	1459.7	1067.122	2500.703	99.6	182.835	27.824	667.767	1421.865	15485.53	40151.98	2438.326	2218.938	6882.61	0.058	506.872	52549.429	0	1777.67	576	1518	31719
Spain	Cooperative_banks	1999	1637	498	236	836	80	74	96	289	896	5338	22525	4421	1581	3804	123	1713	28118	6	997	94	3744	13855
Spain	Cooperative_banks	2000	1950	698	279	899	169	69	108	286	600	5957	26521	4728	1740	4289	120	1716	32217	31	1173	92	3888	14495
Spain	Cooperative_banks	2001	2396	959	286	1017	237	65	112	293	1475	6834	30993	4674	2037	4827	0	2151	37303	272	1460	89	4091	15580
Spain	Cooperative_banks	2002	2395	852	309	1116	275	51	110	300	807	6615	36195	4788	2023	5509	0	2178	41188	249	1304	85	4275	16414
Spain	Cooperative_banks	2003	2319	722	392	1204	274	71	121	318	926	6032	42473	4555	2119	6289	10	2769	45387	351	1299	84	4460	17067
Spain	Cooperative_banks	2004	2290	686	503	1289	243	75	139	361	822	6556	50107	5317	2267	7080	25	3299	52313	942	1410	83	4559	17650
Spain	Cooperative_banks	2005	2610	927	716	1374	266	79	173	508	1030	7820	65264	4898	3168	8760	230	3596	65418	2166	2010	83	4656	18395
Spain	Cooperative_banks	2006	3384	1467	679	1471	301	90	194	541	1093	9283	78819	5397	3530	9544	45	3768	79149	3016	2602	83	4772	19382
Spain	Cooperative_banks	2007	4819	2477	671	1594	445	111	239	625	1351	7900	91797	5869	3848	10572	1183	5045	86442	4587	2936	83	4953	20429
Spain	Cooperative_banks	2008	5985	3508	630	1721	652	52	222	459	1903	6029	96882	6304	4728	11778	2862	5526	89450	3592	2639	81	5097	20940
Spain	Cooperative_banks	2009	4934	2504	782	1715	995	29	171	303	1409	8622	98151	9642	5108	13452	2130	7081	94071	3771	2429	81	5043	20757
Switzerland	Cooperative_banks	1999	2402	1388	255	655	451	74	11	78	1044	5537	57406	351	1219	1490	NA	4967	46188	10594	2317	1	582	3574
Switzerland	Cooperative_banks	2000	2915	1699	311	837	199	142	12	337	904	4544	66281	3378	2034	3521	NA	6267	49190	16007	2158	1	537	4999
Switzerland	Cooperative_banks	2001	3240	1904	279	947	305	27	14	322	1036	5463	70821	3196	1893	3881	NA	6127	52893	17320	2188	1	519	5466
Switzerland	Cooperative_banks	2002	3163	1704	298	1022	212	94	16	413	997	10814	75901	2930	2041	4319	NA	9509	58804	17714	2336	1	493	5805
Switzerland	Cooperative_banks	2003	2900	1314	351	1057	287	140	17	436	1234	14288	81377	3209	2032	4788	NA	13040	65395	16828	2089	1	1239	6058
Switzerland	Cooperative_banks	2004	2853	1211	351	1162	172	154	19	487	1259	12251	86565	3277	2746	5335	NA	11002	70724	17006	2031	1	1207	6304
Switzerland	Cooperative_banks	2005	2967	1227	372	1164	170	169	21	587	1140	10130	90782	3280	2856	5954	NA	9741	72609	17832	2053	1	1174	6549
Switzerland	Cooperative_banks	2006	3211	1385	365	1209	158	169	24	631	1138	11372	95110	3098	3280	6663	NA	9786	75371	19970	2209	1	1148	6764
Switzerland	Cooperative_banks	2007	3706	1790	403	1337	143	138	26	676	1203	12340	101527	3310	4695	7377	NA	11431	79758	22153	2357	1	1154	7208
Switzerland	Cooperative_banks	2008	4033	2071	408	1447	242	117	27	537	1829	12605	108595	4076	4471	7951	NA	8496	85818	26226	3084	1	1150	7665
Switzerland	Cooperative_banks	2009	3584	1604	466	1468	187	146	29	617	1338	8800	117636	7588	4158	8600	NA	9823	94267	23888	2941	1	1145	7999
US	Cooperative_banks	1999	597.336	288.698	38.244	223.067	3.056	45.673	4.936	70.15	219.13	104.712	6245.579	1904.182	444.632	1001.821	NA	9.178	7261.663	0	645.573	77	NA	2510
US	Cooperative_banks	2000	678.333	338.666	41.329	243.037	4.603	48.96	5.52	78.876	209.602	139.244	7031.257	1991.699	541.313	1098.947	NA	11.158	8109.757	0	693.253	77	NA	2530
US	Cooperative_banks	2001	713.854	349.556	47.128	265.766	6.03	50.424	10.786	78.42	26.889	368.746	7420.148	2275.616	814.871	1182.155	NA	12.716	8941.706	0	769.693	76	NA	2678
US	Cooperative_banks	2002	681.248	272.166	49.58	289.569	5.644	58.909	7.221	97.319	34.818	375.844	7720.039	2826.372	949.566	1283.844	NA	14.569	9772.419	0	835.807	75	NA	2818
US	Cooperative_banks	2003	637.495	219.172	68.011	319.143	2.959	63.176	4.282	96.782	59.157	337.156	8226.573	3380.762	810.13	1394.177	NA	19.973	10350.733	0	1048.893	74	NA	2954
US	Cooperative_banks	2004	606.675	188.379	49.963	320.407	9.161	48.487	3.888	86.316	66.914	288.113	8658.83	2993.522	833.032	1396.492	NA	16.236	10145.464	0	1282.218	72	NA	2810
US	Cooperative_banks	2005	653.61	227.056	43.977	321.698	8.868	49.128	2.998	87.839	81.753	248.306	9191.007	2591.737	865.328	1410.741	NA	4.701	10077.814	0	1484.876	70	NA	2761
US	Cooperative_banks	2006	739.814	331.245	45.547	328.758	9.139	39.066	4.011	73.142	74.809	253.206	9733.93	2409.791	940.651	1480.377	NA	2.459	10240.015	0	1689.534	69	NA	2755
US	Cooperative_banks	2007	759.878	386.917	52.42	333.557	14.083	24.114	3.418	50.209	75.31	216.973	9715.86	2284.308	1012.053	1486.897	NA	3.27	9939.937	0	1874.402	62	NA	2657
US	Cooperative_banks	2008	755.799	350.104	-10.157	359.656	57.072	-4.337	3.309	-11.683	124.639	271.106	10578.593	2213.891	1092.566	1487.382	NA	NA	10618.9	3	2160.032	59	NA	2730
US	Cooperative_banks	2009	717.877	276.369	46.986	398.473	53.681	22.732	2.374	22.825	166.182	455.735	10698.995	2372.378	1141.813	1541.391	NA	NA	11553.307	3	1719.89	59	NA	2759
Canada	Other_monetary_ins.	1999	3459	2080	1204	1739	159	173	305	207	2432	0	37167	12801	4554	2197	0	0	49919	2060	2778	NA	NA	NA
Canada	Other_monetary_ins.	2000	749	493	321	391	5	59	27	95	2015	0	6447	1711	590	921	0	0	9091	0	751	NA	NA	NA
Canada	Other_monetary_ins.	2001	684	440	292	375	13	42	98	8	653	0	6599	1823	520	818	0	0	8104	0	673	NA	NA	NA
Canada	Other_monetary_ins.	2002	604	366	336	402	20	49	28	75	1057	0	6393	2037	735	921	0	0	8624	40	637	NA	NA	NA
Canada	Other_monetary_ins.	2003	624	372	342	418	26	47	20	83	1123	0	7430	2085	639	963	0	0	9544	41	729	NA	NA	NA
Canada	Other_monetary_ins.	2004	632	381	382	423	16	58	39	97	1111	0	8646	2068	854	1044	0	0	10818	1	816	NA	NA	NA
Canada	Other_monetary_ins.	2005	723	384	373	478	13	60	53	108	1135	0	12574	3011	746	1229	0	0	13028	1	3208	NA	NA	NA
Canada	Other_monetary_ins.	2006	919	465	619	701	16	103	71	182	1687	0	11397	6378	857	1783	0	0	15050	0	3486	NA	NA	NA
Canada	Other_monetary_ins.	2007	1095	595	711	796	9	133	131	142	2833	0	12567	5780	2803	2045	0	0	18026	0	3912	NA	NA	NA
Canada	Other_monetary_ins.	2008	1186	714	781	788	10	140	71	244	3390	0	13935	4895	4265	2406	0	0	20854	0	3225	NA	NA	NA
Canada	Other_monetary_ins.	2009	1079	590	755	814	30	116	62	222	3500	0	14290	5978	4107	2894	0	0	21756	0	3225	NA	NA	NA
Finland	Other_monetary_ins.	1999	840.05	582.021	135.115	157.592	-77.408	115.103	117.43	80.426	0.058	711.893	12262.188	2441.345	2548.31	1504.798	0	6466.765	0	8328.492	1663.74	16	5	1350
Finland	Other_monetary_ins.	2000	601.476	421.543	103.704	130.981	39.197	24.454	50.09	38.915	0.061	255.114	8773.533	776.626	1861.215	1012.143	0	6046.542	0	3817.732	790.131	16	11	1285
Finland	Other_monetary_ins.	2001	636.407	414.879	85.935	152.391	35.179	34.424	114.839	-29.369	2.98	358.656	12555.999	1056.504	2129.123	1688.466	0	8688.862	0	3383.695	2342.238	16	11	1282
Finland	Other_monetary_ins.	2002	693.829	424.765	86.004	144.117	12.381	53.839	114.602	30.13	3.625	356.566	10397.166	736.637	1885.613	1587.993	0	7015.935	0	3489.889	1285.79	14	0	1132
Finland	Other_monetary_ins.	2003	584.95	317.147	95.014	149.051	-0.807	62.201	41.517	110.855	4.888	267.303	10138.547	1114.464	1829.029	1678.944	0	6451.721	0	3864.889	1358.677	13	0	1101
Finland	Other_monetary_ins.	2004	439.555	247.884	76.695	136.018	12.55	37.059	143.094	-60.354	4.614	251.862	9354.996	1221.849	1377.314	963.858	0	4957.313	0	4664.644	1624.82	10	0	984
Finland	Other_monetary_ins.	2005	483.628	283.943	67.989	124.04	2.482	35.843	52.313	52.996	7.419	278.307	11613.938	1342.12	1391.523	1016.78	0	5221.576	0	6556.36	1838.591	10	0	1012
Finland	Other_monetary_ins.	2006	639.787	425.764	102.015	142.4	30.702	32.627	4.343	105.967	8.375	462.238	14102.698	2042.277	1574.295	1187.121	0	5811.688	0	8681.696	2509.378	10	0	1073
Finland	Other_monetary_ins.	2007	989.455	730.517	78.533	143.808	51.545	36.798	49.574	55.746	15.725	621.384	17010.997	2082.814	1853.511	1334.919	0	6509.205	0	10851.449	2888.858	10	0	1116
Finland	Other_monetary_ins.	2008	1264.22	986.13	75.041	159.752	26.939	37.655	52.09	76.695	23.975	752.639	20835.534	3786.354	3458.042	1303.503	0	8001.696	1039.104	15810.646	2701.595	10	0	1204
Finland	Other_monetary_ins.	2009	895.549	600.023	51.17	178.116	20.295	40.385	51.127	56.773	47.292	454.137	24572.388	4165.111	2789.312	1491.788	0	7838.994	0	19145.721	3551.737	7	0	1190
France	Other_monetary_ins.	2004	102.877	40.629	32.152	69.794	6.402	4.215	0.532	13.457	39.215	683.01	916.007	163.834	109.123	325.431	0	676.979	307.913	489.176	111.69	21	109	987
France	Other_monetary_ins.	2005	101.949	37.051	33.163	71.967	11.618	6.626	0.47	7.38	22.007	458.111	905.461	204.208	106.452	343.292	0	590.944	319.77	335.848	106.379	21	73	960
France	Other_monetary_ins.	2006	80.179	27.904	66.477	57.444	4.741	8.628	0.302	47.637	15.133	415.39	671.713	107.845	85.272	301.717	0	382.434	230.172	237.457	143.57	19	58	742
France	Other_monetary_ins.	2007	76.264	26.646	14.878	54.192	-2.359	3.157	1.304	8.202	16.535	311.762	665.101	105.764	85.288	308.514	0	358.451	225.755	193.149	98.576	19	54	715
France	Other_monetary_ins.	2008	75.202	26.449	18.04	54.03	-0.645	4.149	0.297	8.962	15.971	237.504	590.819	250.153	72.081	314.332	0	326.423	302.148	125.192	98.437	19	60	699
France	Other_monetary_ins.	2009	75.589	21.856	13.58	53.733	0.893	4.541	1.364	6.782	16.563	324.15	686.409	123.417	83.31	322.892	0	348.683	258.578	210.954	92.741	19	58	692
Germany	Other_monetary_ins.	1999	80691	70980	1927	7149	897	1542	990	1060	4760.13	591869.94	609790.21	372527.26	91551.93	51269.8	29823.66	625354.97	401389.69	465390.14	97270.21	17	679	48200
Germany	Other_monetary_ins.	2000	96561	86354	3887	7802	2614	1636	948	1094	5806	617186	638590	429067	98919	55881	39227	650061	425526	522050	96823	17	663	49150
Germany	Other_monetary_ins.	2001	99269	88270	2748	8571	3037	411	983	745	7364	632260	648774	468698	81760	63337	20889	660308	461817	548442	84063	15	622	49750
Germany	Other_monetary_ins.	2002	85609	74452	3019	8345	4220	372	851	388	6006	675770	642910	468213	63535	72721	14683	675524	442791	560381	90334	16	565	47900
Germany	Other_monetary_ins.	2003	76712	65516	1358	8001	6737	359	983	-3526	9241	648663	611784	458818	58136	73287	20954	601676	457359	550416	82950	15	583	45900
Germany	Other_monetary_ins.	2004	72996	62162	-949	7666	1527	755	896	-959	6910	665057	537904	449492	56421	65158	30143	580547	430242	525187	84507	14	560	43600
Germany	Other_monetary_ins.	2005	80792	69736	765	8114	271	423	1075	1938	5545	680903	588260	482168	53210	70885	48588	598329	456290	555693	80301	14	591	45150
Germany	Other_monetary_ins.	2006	89017	77978	2747	8741	-1351	450	1522	4424	5324	646650	626865	535380	61797	73957	70867	629889	458911	552695	89697	14	507	44400
Germany	Other_monetary_ins.	2007	103430	91288	-264	8248	3217	-366	1143	-362	7332	626860	697773	592891	66639	75839	110367	676696	477624	559410	91559	14	496	44750
Germany	Other_monetary_ins.	2008	105376	91625	542	8340	12420	71	230	-6768	11947	540595	731193	551352	89401	77940	88108	588846	522718	538097	108779	12	494	44350
Germany	Other_monetary_ins.	2009	68236	55641	1479	8228	10379	191	-2147	-2577	9187	470069	691524	513706	83206	85396	50596	510724	485333	521556	114087	12	486	43750
Korea	Other_monetary_ins.	1999	8722000	6192000	704000	1695000	1195000	53000	19000	272000	5272000	1584000	68140000	0	43127000	1971000	1491000	818000	60373000	7720000	45751000	4	1406	20500
Korea	Other_monetary_ins.	2000	10044000	6771000	-955000	1737000	448000	104000	46000	-17000	3648000	2140000	78056000	0	54743000	1406000	1411000	150000	79459000	7488000	48670000	3	1367	19500
Korea	Other_monetary_ins.	2001	11064000	6999000	-69000	1664000	1142000	206000	89000	896000	4983000	1858000	85891000	0	66883000	3104000	2126000	0	92941000	7138000	54307000	3	1352	18800
Korea	Other_monetary_ins.	2002	11443000	6617000	117000	1788000	1354000	380000	126000	1296000	5036000	3932000	104472000	0	70710000	3656000	1936000	291000	102840000	11383000	64044000	3	1368	18800
Korea	Other_monetary_ins.	2003	11760000	6463000	239000	2029000	2540000	168000	156000	644000	3670000	2753000	120251000	0	75295000	3994000	1988000	50000	112785000	14588000	68565000	3	1371	19000
Korea	Other_monetary_ins.	2004	13291339.162	6691711.988	329365.817	2997784.607	2055252.295	380427.66	134000	1361528.427	6970552.679	1487889.504	148718954.744	50990316.135	21808661.455	7260071.71	2306115	149000	144834799.722	15787925	59638463.084	1071	2885	27500
Korea	Other_monetary_ins.	2005	13349390.72	6613456.65	199177.775	3311122.041	1195430.022	475909.209	270000	1684650.573	6451263.415	1288288.958	171365953.792	56488376.244	21108503.941	8691432.374	2469954	110000	156285240.376	23498078	65647681.602	1056	2957	27714
Korea	Other_monetary_ins.	2006	15655885.748	8500118.141	246631.829	3602632.138	809011.038	580250.158	362000	2048506.102	8987830.984	3664751.427	200892698.96	57491917.674	22865504.587	10508529.133	2717011.808	45000	167173107.679	41625870	71833185.011	1029	3038	28146
Korea	Other_monetary_ins.	2007	18732526.79	11076114.627	1410891.73	4195249.039	1342758.973	752699.502	405000	2371596.378	10725466.581	3381967.684	230965566.722	58328326.487	24102326.245	10886938.638	2683492.581	113000	180135893.583	57361958	76322370.918	1012	3231	29051
Korea	Other_monetary_ins.	2008	22357303	14241155	239527	4433020	2116053	577324	170000	1061278	11816645	2416225	270597328	59995254	33698518	11382794	3327916	83000	203235274	74305025	86189961	999	3373	32043
Korea	Other_monetary_ins.	2009	20617854.162	12304175.734	215051.991	4272075.109	2432948.977	482908.995	392670	948127.338	13784759.359	1766160.649	286159436.86	60363728.552	33427672.738	14017296.267	3274121.7	0	222211209.44	82379801	73619329.751	987	3418	31713
Mexico	Other_monetary_ins.	2000	72924.9	64771.39	-835.066	9565.487	2464.354	318.501	-323.667	-4706.23	54.816	0	383344.766	72932.061	43274.382	28806.797	0	76366.911	198945.817	0	195486.5	5	404	10916
Mexico	Other_monetary_ins.	2001	60769.177	56052.9	2981.564	9590.603	611.864	82.964	2.954	-2587.59	78.584	0	377102.69	105819.96	47203.003	22616.165	0	86137.843	242120.626	0	179329.603	5	390	10443
Mexico	Other_monetary_ins.	2002	52569.144	45516.983	1959.655	10096.759	8237.326	329.287	33.292	-9684.848	137.735	0	512298.099	145566.543	67575.791	41547.865	0	122265.674	334184.439	0	227580.19	6	976	9993
Mexico	Other_monetary_ins.	2003	55082.573	47504.961	2566.728	7432.268	1838.496	548.929	-57.35	381.997	258.93	0	461838.947	99272.606	77416.028	37015.302	0	109062.074	294215.929	0	198493.207	6	754	5665
Mexico	Other_monetary_ins.	2004	56761.68	48292.03	2407.028	7119.074	2838.088	673.575	-162.278	408.22	281.712	0	444152.544	69182.466	69362.602	38846.47	0	84342.261	287429.604	0	172360.99	6	721	5677
Mexico	Other_monetary_ins.	2005	78119.475	70543.855	3460.597	7017.434	1991.303	1239.159	-183.652	971.973	422.926	0	433158.477	71280.816	75340.4	42117.988	0	61702.695	330340.37	0	146041.565	6	721	5961
Mexico	Other_monetary_ins.	2006	65436.403	56040.353	3704.519	7200.573	2775.811	1069.633	-149.729	2204.281	421.089	0	307182.339	77459.252	80327.867	51263.732	0	52851.085	292783.396	0	68492.332	6	681	5923
Mexico	Other_monetary_ins.	2007	63317.493	57827.032	5411.53	7380.434	990.618	1780.153	-406.74	1157.526	51185.445	30466.387	255962.292	86834.888	17627.007	57126.749	2000	78665.87	288119.882	0	16163.519	6	665	5916
Mexico	Other_monetary_ins.	2008	66978.68	55715.632	5331.423	7364.864	6935.817	1456.707	-294.053	1131.137	32425.995	30733.442	313571.896	122791.505	21630.089	56668.961	11053.557	100200.949	320672.35	0	32557.11	6	640	5842
Mexico	Other_monetary_ins.	2009	57990.001	45591.134	6786.517	8897.091	6176.048	405.448	0	3706.797	32638.656	37870.227	357447.028	357580.463	39116.445	60917.988	15871.939	109347.917	359802.113	0	278712.861	6	649	5862
US	Other_monetary_ins.	1999	38571.726	19485.342	3581.31	15141.78	1482.74	794.598	4574.642	673.934	28242.341	NA	376214.436	76464.065	85363.191	59944.373	NA	NA	281180.621	455.316	224703.723	11224	NA	198494
US	Other_monetary_ins.	2000	41453.973	21565.609	3819.103	16034.664	1463.06	654.021	5064.232	491.49	6661.859	21482.058	407458.189	93844.977	58395.718	64791.415	NA	NA	278680.588	450.576	243920.223	10869	NA	197558
US	Other_monetary_ins.	2001	42731.33	21899.734	5123.325	17641.948	1740.917	746.059	5335.388	490.609	7171.26	31351.684	427320.738	117723.709	68758.064	69746.675	NA	NA	306184.782	301.453	276092.548	10515	NA	207676
US	Other_monetary_ins.	2002	40202.891	16635.998	5627.012	19264.052	2023.024	770.872	6166.068	969.889	8159.506	32284.735	450724.134	132902.871	90796.386	76276.492	NA	NA	334467.429	1.192	304122.52	10192	NA	212895
US	Other_monetary_ins.	2003	37635.161	13394.286	6755.088	20540.721	2206.166	811.21	6391.898	1045.968	8584.703	34827.641	485519.45	127138.256	116315.006	82057.709	NA	NA	361873.428	1.226	328451.896	9853	NA	222240
US	Other_monetary_ins.	2004	37463.429	12133.11	6943.514	21898.088	2335.361	760.215	6812.845	467.324	8382.249	33628.789	533386.897	111377.605	129246.193	87734.066	NA	NA	376870.893	1.684	351415.092	9469	NA	227421
US	Other_monetary_ins.	2005	41480.334	15494.503	8296.468	23190.49	2782.143	937.506	6384.651	987.509	8889.874	31472.98	585612.707	113143.718	111516.982	93001.329	NA	NA	377495.649	3.126	380136.149	9126	NA	232580
US	Other_monetary_ins.	2006	48779.302	22127.068	8787.669	24952.769	2373.544	847.647	6585.254	680.689	8466.123	37522.79	631930.629	73139.411	144456.297	100524.55	NA	NA	366131.889	3.725	428855.096	8852	NA	242294
US	Other_monetary_ins.	2007	54636.892	27315.391	8627.937	26875.034	4217.391	-10.604	5517.712	-650.193	8479.394	36525.13	668853.359	82431.161	161422.034	106364.13	NA	NA	374878.398	4.627	476463.915	8573	NA	251288
US	Other_monetary_ins.	2008	53040.425	23658.722	2784.386	29875.158	10350.899	342.07	288.556	-5165.037	9140.656	34707.87	681310.638	86913.742	173421.587	95397.16	NA	NA	365135.268	3.952	524958.105	8256	NA	243212
US	Other_monetary_ins.	2009	49006.382	17531.941	9884.846	27728.656	10821.953	349.927	4656.186	333.792	8707.227	54398.831	670981.128	106673.134	211403.32	103331.835	NA	NA	409819.324	3.15	539014.713	7990	NA	242035
Russia	Other_monetary_ins.	2004	363.503	82.937	1164.63	1037.774	9.911	103.274	NA	291.72	36804.794	NA	1107.337	383.061	2065.819	2845.687	0	124.546	92.822	0	37297.956	50	6	NA
Russia	Other_monetary_ins.	2005	490.764	73.421	1603.825	1370.362	20.896	157.509	NA	471.412	46965.754	NA	1130.305	754.812	2683.788	3649.1	0	111.709	417.886	0	47355.964	48	12	NA
Russia	Other_monetary_ins.	2006	908.201	82.994	2071.504	1841.537	-8.391	276.779	NA	784.363	77432.397	NA	1879.255	1705.917	6374.184	5333.177	4.9	76.687	712.147	0	81264.842	46	9	NA
Russia	Other_monetary_ins.	2007	1610.778	90.709	2939.922	2549.261	43.366	473.545	NA	1387.134	80241.032	NA	2064.358	6449.101	6192.904	4649.186	9.5	94.031	2622.409	0	87572.269	44	13	NA
Russia	Other_monetary_ins.	2008	2818.416	280.747	3680.992	3533.869	47.024	NA	NA	NA	123275.677	NA	3129.766	6117.083	59000.887	6386.454	147.648	170.908	1953.101	0	182865.302	50	15	NA
Russia	Other_monetary_ins.	2009	3761.323	498.11	4736.766	4636.09	-302.985	808.882	75	2782.992	77112.487	0	1217.207	15614.173	11858.03	9490.344	5.4	234.163	960.592	0	95111.398	51	20	NA
Greece	Cooperative_banks	2009	NA	NA	NA	NA	NA	NA	NA	NA	159.521	834.291	3394.702	149.179	188.128	542.548	45.52	192.046	3607.655	30	308.052	NA	NA	NA
